designation,A,r_x,r_y,f_y,k_f,I_y,J,I_w,Z_ex,Z_ey
310UC158,20100,139,78.9,280,1,125.000,3810.000,2860.000,2680.000,1210.000
310UC137,17500,137,78.2,280,1,107.000,2520.000,2390.000,2300.000,1040.000
310UC118,15000,136,77.5,280,1,90.200,1630.000,1980.000,1960.000,882.000
310UC96.8,12400,134,76.7,300,1,72.900,928.000,1560.000,1560.000,694.000
250UC89.5,11400,112,65.2,280,1,48.400,1040.000,713.000,1230.000,567.000
250UC72.9,9320,111,64.5,300,1,38.800,586.000,557.000,986.000,454.000
200UC59.5,7620,89.7,51.7,300,1,20.400,477.000,195.000,656.000,299.000
200UC52.2,6660,89.1,51.5,300,1,17.700,325.000,166.000,570.000,260.000
200UC46.2,5900,88.2,51,300,1,15.300,228.000,142.000,494.000,223.000
150UC37.2,4730,68.4,38.5,300,1,7.010,197.000,39.600,310.000,137.000
150UC30,3860,67.5,38.1,320,1,5.620,109.000,30.800,250.000,110.000
150UC23.4,2980,65.1,36.6,320,1,3.980,50.200,21.100,176.000,73.500
100UC14.8,1890,41.1,24.5,320,1,1.140,34.900,2.300,74.400,34.400
